,0,1,2,3,4,5,6,7,8,9
107,UNS:0.038852,-1.0,UNS:0.042004,UNS:0.042823,UNS:0.038974,UNS:0.039899,UNS:0.10728,UNS:0.041043,UNS:0.041898,UNS:0.038888
108,UNS:0.0385,UNS:0.039331,UNS:0.038883,UNS:0.039729,UNS:0.038441,UNS:0.038454,UNS:0.046354,UNS:0.039362,UNS:0.039122,-1.0
109,UNS:0.039901,UNS:0.039013,UNS:0.053187,UNS:0.039472,-1.0,UNS:0.041034,UNS:0.04061,UNS:0.038928,UNS:0.039197,UNS:0.038876
110,UNS:0.038734,UNS:0.040324,UNS:0.039552,UNS:0.042239,UNS:0.040309,UNS:0.038249,UNS:0.03932,UNS:0.038884,-1.0,UNS:0.038434
111,UNS:0.038651,UNS:0.039063,UNS:0.130573,UNS:0.081393,UNS:0.042553,UNS:0.038617,UNS:0.039849,-1.0,UNS:0.046535,UNS:0.053201
112,UNS:0.038769,UNS:0.040656,UNS:0.03885,-1.0,UNS:0.038487,UNS:0.039014,UNS:0.037962,UNS:0.038641,UNS:0.039296,UNS:0.039809
113,UNS:0.038442,UNS:0.039384,UNS:0.038995,UNS:0.038679,UNS:0.038286,UNS:0.038829,UNS:0.038801,UNS:0.038301,UNS:0.043083,-1.0
114,UNS:0.041885,UNS:0.038565,UNS:0.041916,UNS:0.039773,UNS:0.042948,UNS:0.04453,UNS:0.038971,-1.0,UNS:0.072547,UNS:0.039443
115,UNS:0.039987,UNS:0.107317,UNS:0.038329,UNS:0.056449,-1.0,UNS:0.061555,UNS:0.03876,UNS:0.039236,UNS:0.039096,SAT:0.948555
116,UNS:0.038695,UNS:0.128751,UNS:0.041195,UNS:0.044332,-1.0,UNS:0.081861,UNS:0.039084,UNS:0.039803,UNS:0.05055,UNS:0.039138
117,UNS:0.040497,UNS:0.106842,UNS:0.038476,UNS:0.039689,-1.0,UNS:0.039901,UNS:0.044417,UNS:0.039209,UNS:0.041611,UNS:0.043768
118,UNS:0.041391,UNS:0.041131,UNS:0.039017,UNS:0.03943,UNS:0.04652,UNS:0.038491,UNS:0.042429,UNS:0.039065,UNS:0.038858,-1.0
119,UNS:0.117859,UNS:0.117723,-1.0,UNS:0.102775,UNS:0.042391,UNS:0.102237,UNS:0.286526,SAT:0.460683,-1.0,-1.0
120,UNS:0.040191,UNS:0.040109,UNS:0.038332,UNS:0.039531,UNS:0.041874,-1.0,UNS:0.038373,UNS:0.038773,UNS:0.042265,UNS:0.039346
121,UNS:0.040549,UNS:0.038681,UNS:0.039106,UNS:0.03925,-1.0,UNS:0.038546,UNS:0.147368,UNS:0.044991,UNS:0.051928,UNS:0.119951
122,UNS:0.041466,UNS:0.039677,UNS:0.045007,UNS:0.039365,UNS:0.039874,UNS:0.042108,UNS:0.040461,-1.0,UNS:0.040602,UNS:0.03887
123,UNS:0.041994,UNS:0.03969,UNS:0.041293,UNS:0.038708,UNS:0.039147,UNS:0.065777,-1.0,UNS:0.039073,UNS:0.038619,UNS:0.038808
124,UNS:0.039204,SAT:0.984121,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
125,UNS:0.040348,UNS:0.038863,UNS:0.03896,UNS:0.038711,UNS:0.03872,UNS:0.038941,UNS:0.040715,UNS:0.039053,UNS:0.038899,-1.0
126,-1.0,UNS:0.038672,UNS:0.042331,UNS:0.043471,UNS:0.038392,UNS:0.043405,UNS:0.038731,UNS:0.066558,UNS:0.06506,UNS:0.04052
127,UNS:0.04069,UNS:0.038705,UNS:0.042539,UNS:0.038729,UNS:0.047377,-1.0,UNS:0.041026,UNS:0.054836,UNS:0.038379,UNS:0.038868
128,UNS:0.039265,UNS:0.040296,UNS:0.039081,UNS:0.03842,UNS:0.039926,UNS:0.041986,UNS:0.038656,UNS:0.040161,-1.0,UNS:0.03967
129,UNS:0.038625,UNS:0.038752,UNS:0.075098,UNS:0.038206,UNS:0.040371,-1.0,UNS:0.039068,UNS:0.038901,UNS:0.039031,UNS:0.039366
130,UNS:0.040667,UNS:0.039981,UNS:0.038951,UNS:0.054591,UNS:0.039545,UNS:0.039046,-1.0,UNS:0.038824,UNS:0.039688,UNS:0.041599
131,UNS:0.04171,UNS:0.042494,UNS:0.040235,UNS:0.038285,UNS:0.03941,UNS:0.043929,-1.0,UNS:0.039052,UNS:0.039257,UNS:0.03944
132,UNS:0.043506,UNS:0.038803,UNS:0.039284,UNS:0.038641,UNS:0.038426,-1.0,UNS:0.042017,UNS:0.03918,UNS:0.03843,UNS:0.038507
133,UNS:0.038958,UNS:0.038018,SAT:0.804912,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
134,UNS:0.040208,UNS:0.038033,UNS:0.038773,UNS:0.069776,UNS:0.039258,UNS:0.040499,UNS:0.039981,UNS:0.039509,-1.0,UNS:0.047156
135,UNS:0.038246,-1.0,UNS:0.043331,UNS:0.038802,UNS:0.038949,UNS:0.039974,UNS:0.039519,UNS:0.060698,UNS:0.041008,UNS:0.040415
136,-1.0,UNS:0.042898,UNS:0.041989,UNS:0.040437,UNS:0.038385,UNS:0.038979,UNS:0.043456,UNS:0.039466,UNS:0.038984,UNS:0.039635
137,UNS:0.038399,-1.0,UNS:0.039298,UNS:0.039789,UNS:0.047954,UNS:0.038544,UNS:0.038485,UNS:0.038818,UNS:0.039861,UNS:0.03981
138,UNS:0.044453,UNS:0.039942,UNS:0.039296,UNS:0.039197,UNS:0.038533,UNS:0.039219,-1.0,UNS:0.03956,UNS:0.038313,UNS:0.038168
139,UNS:0.039583,UNS:0.040123,UNS:0.061193,UNS:0.039662,-1.0,UNS:0.041543,UNS:0.038776,UNS:0.040707,UNS:0.04159,UNS:0.104623
140,UNS:0.045959,UNS:0.050971,UNS:0.039667,UNS:0.145814,UNS:0.040335,UNS:0.046485,-1.0,UNS:0.04226,UNS:0.039289,UNS:0.071915
141,UNS:0.039082,UNS:0.041655,UNS:0.04109,UNS:0.038941,UNS:0.040331,UNS:0.0393,UNS:0.04034,-1.0,UNS:0.04134,UNS:0.039851
